Date,Open,High,Low,Close,Adj Close,Volume
2017-04-03,664.699341,683.768555,662.247559,680.871033,661.447571,20715169
2017-04-05,691.049561,702.342468,683.570435,700.856567,680.862976,18609462
2017-04-06,697.884766,717.647400,694.516663,712.496277,692.170593,23361514
2017-04-07,703.976990,710.267395,694.690063,696.696045,676.821106,14710432
2017-04-10,698.380066,705.760071,682.183594,684.189575,664.671448,14199616
2017-04-11,687.409058,693.649902,678.617371,679.731812,660.340820,14883207
2017-04-12,684.907776,686.715637,669.231384,670.643005,651.511414,12667376
2017-04-13,670.643005,680.251892,667.349182,675.992249,656.707886,5867471
2017-04-17,676.091309,691.222900,676.091309,689.390259,669.723755,5463005
2017-04-18,693.402222,698.380066,677.081970,678.666931,659.306213,7391572
2017-04-19,678.072571,684.783936,672.401306,677.973511,658.632690,5340733
2017-04-20,683.025574,686.888977,675.645569,678.344971,658.993530,3873597
2017-04-21,683.768555,703.828430,682.802734,694.665283,674.848328,13951559
2017-04-24,697.909485,710.762695,693.526062,702.045288,682.017761,11774019
2017-04-25,723.145325,726.983948,706.354492,709.673035,689.427917,16966725
2017-04-26,710.762695,713.263977,694.714783,701.574768,681.560669,7736192
2017-04-27,701.847168,705.388611,694.516663,698.132385,678.216492,5801788
2017-04-28,698.256226,703.481689,688.969238,691.049561,671.335693,5468153
2017-05-02,694.417603,694.417603,676.735229,678.840271,659.474731,8579933
2017-05-03,681.985474,683.892395,676.091309,678.617371,659.258118,4384266
2017-05-04,681.044373,683.322754,670.667725,672.599426,653.411865,6629876
2017-05-05,674.407288,677.255310,656.279114,657.888855,639.120972,7198681
2017-05-08,658.755676,663.461060,652.985352,654.496033,635.824951,7414794
2017-05-09,655.783813,660.563538,653.926453,658.929016,640.131470,9740485
2017-05-10,661.133118,675.397888,659.077576,673.169006,653.965271,10571126
2017-05-11,675.645569,678.444031,669.479004,673.391907,654.181702,6361244
2017-05-12,673.639587,675.596008,665.714661,668.884644,649.803040,3472060
2017-05-15,671.831726,671.831726,660.489197,665.739441,646.747559,3109625
2017-05-16,666.705322,681.985474,664.203979,671.782166,652.617920,5840738
2017-05-17,670.147644,676.561890,667.547302,670.197205,651.078186,4543269
2017-05-18,663.832520,668.661743,655.833374,657.443115,638.687988,4518258
2017-05-19,660.241577,661.578918,648.849548,653.233032,634.597961,5913291
2017-05-22,657.022095,660.538757,651.425171,655.858093,637.148193,4061858
2017-05-23,656.625854,658.681335,644.887085,646.645447,628.198364,4256413
2017-05-24,647.611267,650.682190,641.469482,642.757324,624.421082,6611691
2017-05-25,643.896484,650.038269,642.138184,645.109985,626.706665,11963002
2017-05-26,645.852966,665.888062,643.896484,662.371399,643.475708,9890146
2017-05-29,662.222778,676.314209,661.529358,672.079346,652.906616,11086441
2017-05-30,671.584045,675.942749,667.918823,673.292847,654.085510,4457308
2017-05-31,677.081970,677.552490,661.628418,664.055420,645.111572,7579368
2017-06-01,660.092957,663.708679,655.288513,657.888855,639.120972,4399971
2017-06-02,661.232178,663.064819,652.316711,656.155273,637.436829,5304943
2017-06-05,656.898254,664.203979,651.747070,658.433716,639.650269,5000365
2017-06-06,660.712097,660.712097,649.344849,650.236389,631.686829,4426274
2017-06-07,649.443909,664.699341,648.354248,663.213379,644.293640,5168439
2017-06-08,663.708679,666.086182,657.789795,659.597656,640.780945,3647290
2017-06-09,666.234741,670.122925,659.250977,661.578918,642.705811,6385564
2017-06-12,657.046875,658.631836,652.316711,653.530212,634.886719,3891567
2017-06-13,654.099792,657.269714,649.344849,651.004150,632.432678,2780692
2017-06-14,651.771851,673.614807,651.771851,672.376526,653.195374,24431465
2017-06-15,673.614807,690.950500,673.169006,685.477356,665.922363,13056205
2017-06-16,688.028198,691.346741,678.221130,687.879578,668.256165,15096065
2017-06-19,688.572998,701.252808,688.572998,698.008606,678.096191,7031853
2017-06-20,697.884766,704.373230,697.117004,699.544006,679.587830,4680750
2017-06-21,697.290405,707.295532,695.532043,704.323730,684.231262,9226522
2017-06-22,708.013733,715.913879,707.146973,709.598694,689.355652,10207734
2017-06-23,711.257996,714.229797,708.583313,711.183716,690.895386,14372622
2017-06-27,709.276794,714.725098,705.809631,711.827576,691.520996,15040990
2017-06-28,713.214417,713.214417,691.222900,692.684021,672.923523,7184538
2017-06-29,693.427002,698.380066,688.523499,689.811279,670.132690,5952538
2017-06-30,689.464539,689.662659,681.069153,683.520935,664.021912,3606284
2017-07-03,687.582397,690.801880,679.063171,684.040955,664.526978,4243619
2017-07-04,688.473938,706.849792,687.978638,704.298950,684.207092,8683942
2017-07-05,708.013733,716.929199,705.314331,714.551758,694.167419,12556953
2017-07-06,717.548340,718.192261,712.248596,714.502258,694.119385,6271927
2017-07-07,714.725098,741.843079,713.239197,738.574036,717.504395,16542604
2017-07-10,740.530518,743.403259,737.558655,739.416077,718.322449,1617344
2017-07-11,743.452820,745.136841,736.518555,740.159058,719.044189,9689441
2017-07-12,742.660339,755.340149,741.719238,748.455383,727.103821,7893715
2017-07-13,747.291443,755.340149,746.003601,753.903748,737.767395,10619232
2017-07-14,752.863586,760.788513,750.659485,759.674072,743.414124,9474992
2017-07-17,761.283813,772.477661,761.283813,768.589539,752.138794,8652868
2017-07-18,766.137756,768.614319,748.405884,752.814087,736.701050,9063934
2017-07-19,749.198364,761.779114,749.198364,759.277832,743.026367,5441174
2017-07-20,762.645874,767.722778,754.696228,757.271790,741.063354,6288420
2017-07-21,767.722778,788.376953,765.221436,785.058411,768.255188,44831188
2017-07-24,792.487976,804.821106,785.058411,800.041382,782.917480,20042658
2017-07-25,804.722046,804.845886,791.299255,793.552917,776.567871,9259100
2017-07-26,794.568298,807.297607,793.032837,803.756165,786.552795,10131916
2017-07-27,806.356567,808.090088,786.717712,789.912415,773.005249,8495918
2017-07-28,788.154114,795.435059,781.591309,789.739075,772.835632,6614152
2017-07-31,793.453857,801.799744,790.506775,800.016663,782.893188,7645862
2017-08-01,803.756165,803.756165,788.277893,794.271118,777.270691,5681949
2017-08-02,797.441040,810.170410,796.500000,806.950928,789.679138,9592846
2017-08-03,805.786926,824.633301,800.932983,817.302795,799.809387,9094953
2017-08-04,823.692200,823.692200,799.967102,803.458984,786.261902,8574605
